,Job Title,Min Salary Estimate,Max Salary Estimate,Rating,Company Name,City,State,HCity,HState,Size,Founded,Type of ownership,Industry,Sector,Revenue,Number of Competitors,Easy Apply
598,BI/Data Analyst,57000.0,103000,2.1,The Loot Company,Los Angeles,CA,Los Angeles,CA,201-500,2012,Private Company,Other Retail Stores,Retail,,,
599,"Sr. Data Analyst, Ad Operations",57000.0,103000,3.8,System1,Venice,CA,Venice,CA,201-500,2013,Private Company,Internet,Information Technology,,,
600,Data Analyst Junior,35000.0,45000,5.0,"Staffigo Technical Services, LLC",Los Angeles,CA,Woodridge,IL,51-200,2008,Private Company,IT Services,Information Technology,50 to 100 million,,
601,"Customer Insights Manager, Senior Data Analyst | Mobile",35000.0,45000,-1.0,Elever Professional,Los Angeles,CA,Austin,TX,1-50,-1,Private Company,,,,,
602,Research Sr. Data Analyst - Kaiser Permanente Bernard J. Tyson School of Medicine,35000.0,45000,4.0,Kaiser Permanente,Pasadena,CA,Oakland,CA,10000+,1945,Nonprofit Organization,Health Care Services & Hospitals,Health Care,10+ billion,3.0,
603,"Senior Business Technology Analyst - Big Data (Los Angeles area, CA)",35000.0,45000,3.8,ZS Associates,Los Angeles,CA,Evanston,IL,5001-10000,1983,Private Company,Consulting,Business Services,,,
604,Financial Data Analyst,35000.0,45000,3.8,Tecolote Research,El Segundo,CA,Goleta,CA,501-1000,1973,Private Company,Aerospace & Defense,Aerospace & Defense,50 to 100 million,,
605,Enterprise Data Quality Analyst - EDM,35000.0,45000,3.6,City National Bank,Los Angeles,CA,Los Angeles,CA,1001-5000,1954,Business,Banks & Credit Unions,Finance,,3.0,
606,Survey Data Analyst,35000.0,45000,4.9,Cypress HCM,Los Angeles,CA,Walnut Creek,CA,51-200,2005,Private Company,Staffing & Outsourcing,Business Services,,,
607,Data Analyst/SQL/Healthcare Or Medical OR Clinical,35000.0,45000,-1.0,"Infonex Technologies, Inc.",Pasadena,CA,Santa Clara,CA,,-1,Public Company,,,,,
608,Data Analyst Manager,35000.0,45000,-1.0,Oakwood Search - CHURN,Los Angeles,CA,,,,-1,,,,,,
609,Enterprise Data Analyst,35000.0,45000,3.6,City National Bank,Los Angeles,CA,Los Angeles,CA,1001-5000,1954,Business,Banks & Credit Unions,Finance,,3.0,
610,MEDIA DATA ANALYST,35000.0,45000,-1.0,Bloom Ads Global Media Group,Los Angeles,CA,,,,-1,,,,,,
611,Data Analyst - Personalization,35000.0,45000,3.4,"Internet Brands, Inc.",Los Angeles,CA,El Segundo,CA,1001-5000,1998,Private Company,Internet,Information Technology,1 to 2 billion,,
612,Data Systems Analyst III,35000.0,45000,-1.0,ESP Legal,Los Angeles,CA,,,,-1,,,,,,
613,Data Analyst / Developer,35000.0,45000,4.1,Kforce,Los Angeles,CA,Tampa,FL,10000+,1966,Public Company,Staffing & Outsourcing,Business Services,1 to 2 billion,,
614,Senior Data Bi Analyst,35000.0,45000,3.4,"Apollo Medical Holdings, Inc.",Alhambra,CA,Sandy,UT,1-50,-1,Private Company,,,Less than 1 million,,
615,"Operations Analyst, Data Governance",35000.0,45000,3.7,Turner Broadcasting,Burbank,CA,New York,NY,10000+,2003,Business,TV Broadcast & Cable Networks,Media,10+ billion,2.0,
616,"Analyst, Data (Pharmacy & SQL)",35000.0,45000,3.1,Molina Healthcare,Long Beach,CA,Long Beach,CA,10000+,1980,Public Company,Insurance Carriers,Insurance,10+ billion,,
617,"Sr. Business Analyst, Data Science and Analytics",35000.0,45000,3.0,Beautycounter,Santa Monica,CA,Santa Monica,CA,201-500,2013,Private Company,"Health, Beauty, & Fitness",Consumer Services,,,
618,Enterprise Data Quality Analyst - EDM,35000.0,45000,3.5,Genuent,Los Angeles,CA,Houston,TX,201-500,2006,Private Company,Staffing & Outsourcing,Business Services,100 to 500 million,,
619,Microsoft Dynamics CRM Data Analyst,35000.0,45000,3.7,IBM,Los Angeles,CA,Armonk,NY,10000+,1911,Public Company,IT Services,Information Technology,10+ billion,3.0,
620,"Marketing Data Analyst, Teleflora",35000.0,45000,3.6,The Wonderful Company LLC,Los Angeles,CA,Los Angeles,CA,5001-10000,1980,Private Company,Consumer Products Manufacturing,Manufacturing,2 to 5 billion,,
621,Senior Customer Data Analyst : 20,35000.0,45000,4.6,Akraya Inc.,Los Angeles,CA,Santa Clara,CA,51-200,2001,Private Company,Staffing & Outsourcing,Business Services,25 to 50 million,3.0,
622,REMOTE Data Analyst - POWER BI+MONGO+ DAX EXPERIENCE,35000.0,45000,-1.0,Catasys Health,Santa Monica,CA,,,,-1,,,,,,
623,Senior Data Analyst - User Growth,35000.0,45000,3.8,TikTok,Los Angeles,CA,Los Angeles,CA,1001-5000,2016,Private Company,Internet,Information Technology,,,
624,Automotive Data Analyst,35000.0,45000,2.7,MotorTrend Group,El Segundo,CA,Los Angeles,CA,501-1000,1948,Public Company,TV Broadcast & Cable Networks,Media,,,
625,Data Analyst - Product,35000.0,45000,3.4,Mercury Insurance Group,Brea,CA,Los Angeles,CA,1001-5000,1961,Public Company,Insurance Carriers,Insurance,2 to 5 billion,,
626,"Sr. Analyst, Data",35000.0,45000,3.1,Molina Healthcare,Long Beach,CA,Long Beach,CA,10000+,1980,Public Company,Insurance Carriers,Insurance,10+ billion,,
627,Senior Data Insights Analyst,35000.0,45000,-1.0,Endpoint Closing,El Segundo,CA,El Segundo,CA,1-50,-1,Private Company,,,,,
628,Bilingual (Chinese) Data Analyst,42000.0,66000,3.7,Tripalink,Los Angeles,CA,Los Angeles,CA,1-50,2016,Public Company,Real Estate,Real Estate,,,
629,Systems and Data Analyst - SQL,42000.0,66000,-1.0,Ottimo Resources,Duarte,CA,Carson,CA,,-1,Public Company,,,,,
630,Data Entry Analyst,42000.0,66000,3.6,Ajilon,Woodland Hills,CA,Jacksonville,FL,1001-5000,1994,Public Company,Staffing & Outsourcing,Business Services,100 to 500 million,,
631,"Sr Analyst, Data Operations",42000.0,66000,5.0,WB Technology,Burbank,CA,Bishnupur ,India,,-1,Private Company,,,,,
632,Data Intelligence Analyst II,42000.0,66000,4.0,Prosum,Los Angeles,CA,El Segundo,CA,201-500,1996,Private Company,IT Services,Information Technology,25 to 50 million,3.0,
633,Business Analyst / Data Analyst with Financial Industry Experience,42000.0,66000,3.0,INSPIRE IT Solutions,Monterey Park,CA,Hyderabad,India,1-50,-1,Private Company,,,,,
634,Sr. Data Analyst,42000.0,66000,3.3,Saicon Consultants Inc,Burbank,CA,Overland Park,KS,201-500,1998,Private Company,Computer Hardware & Software,Information Technology,25 to 50 million,,
635,Investment Reporting Data Analyst,42000.0,66000,-1.0,"Recruiting Resources, Inc.",El Segundo,CA,Los Angeles,CA,1-50,-1,Private Company,,,,,
636,Jr. Data Analyst (Jr. DA),42000.0,66000,4.0,"Prime MSO, LLC.",Glendale,CA,Dayton,OH,1-50,-1,Private Company,Health Care Services & Hospitals,Health Care,1 to 5 million,,
637,Sr. Business Data Analyst,42000.0,66000,4.9,KORE1 Technologies,Santa Monica,CA,Irvine,CA,51-200,2005,Private Company,Staffing & Outsourcing,Business Services,10 to 25 million,3.0,
638,Data Reporting Analyst,42000.0,66000,3.6,Axelon Services Corporation,Pasadena,CA,New York,NY,501-1000,-1,Private Company,Staffing & Outsourcing,Business Services,100 to 500 million,,
639,Pricing Data Analyst,42000.0,66000,3.6,City National Corporation,Los Angeles,CA,Los Angeles,CA,1001-5000,1954,Business,Banks & Credit Unions,Finance,,3.0,
640,Senior Data Engineer & Analyst,42000.0,66000,5.0,Pddn,Pasadena,CA,Fremont,CA,51-200,-1,Private Company,"Health, Beauty, & Fitness",Consumer Services,Less than 1 million,,
641,Principal Data Management Analyst,42000.0,66000,3.8,Northrop Grumman,Woodland Hills,CA,Falls Church,VA,10000+,1939,Public Company,Aerospace & Defense,Aerospace & Defense,10+ billion,,
642,Sr. Data Analyst,42000.0,66000,4.3,"ConsultNet, LLC",Burbank,CA,South Jordan,UT,201-500,1996,Private Company,Staffing & Outsourcing,Business Services,50 to 100 million,,
643,Sr Data Analyst (DW),42000.0,66000,4.2,"Aviana Global Technologies, Inc",Los Angeles,CA,Brea,CA,1-50,1994,Private Company,IT Services,Information Technology,10 to 25 million,3.0,
644,"Data Analyst, Product",42000.0,66000,3.9,Jam City,Culver City,CA,Los Angeles,CA,501-1000,2010,Private Company,Video Games,Media,,,
645,"Digital Media Data Analyst, Apple TV+",42000.0,66000,4.1,Apple,Culver City,CA,Cupertino,CA,10000+,1976,Public Company,Computer Hardware & Software,Information Technology,10+ billion,3.0,
646,Data Intelligence Analyst,42000.0,66000,3.4,"EMINENT, INC.",Cerritos,CA,Williamsville,NY,1-50,-1,Private Company,IT Services,Information Technology,1 to 5 million,,
647,"Operations Analyst, Data Governance",42000.0,66000,5.0,WB Technology,Burbank,CA,Bishnupur ,India,,-1,Private Company,,,,,
648,Sr. Data Analyst,42000.0,66000,3.8,Dollar Shave Club,Marina del Rey,CA,Marina del Rey,CA,201-500,2011,Private Company,Beauty & Personal Accessories Stores,Retail,,,
649,Data Technician/Analyst/Specialist,42000.0,66000,3.5,"Leo Tech, LLC",Long Beach,CA,Singapore,Singapore,51-200,-1,Private Company,,,,,
650,Senior Data Analyst,42000.0,66000,3.8,TikTok,Culver City,CA,Los Angeles,CA,1001-5000,2016,Private Company,Internet,Information Technology,,,
651,Research Data Analyst,42000.0,66000,-1.0,"Recargo, Inc., makers of PlugShare",El Segundo,CA,,,,-1,,,,,,
652,【1yr OPT+Intern】Data Analyst 保实习保就业,42000.0,66000,-1.0,Easyfind Company,Arcadia,CA,Noida,India,1-50,-1,Private Company,,,,,
653,Heightened Standards Data Analyst,42000.0,66000,3.6,City National Bank,Beverly Hills,CA,Los Angeles,CA,1001-5000,1954,Business,Banks & Credit Unions,Finance,,3.0,
654,Corporate: Data Analyst,42000.0,66000,3.4,"U.S. Auto Parts Network, Inc.",Torrance,CA,Carson,CA,1001-5000,1995,Public Company,Automotive Parts & Accessories Stores,Retail,100 to 500 million,3.0,
655,Sr Data Analyst,42000.0,66000,3.1,MyLife.com,Los Angeles,CA,Los Angeles,CA,1-50,2002,Private Company,Internet,Information Technology,10 to 25 million,,
656,Data Analyst I- ON SITE POSITION,42000.0,66000,1.0,Center for Family Health and Education,Panorama City,CA,Panorama City,CA,1-50,-1,Public Company,,,,,
657,"Analyst, Data",42000.0,66000,3.1,Molina Healthcare,Long Beach,CA,Long Beach,CA,10000+,1980,Public Company,Insurance Carriers,Insurance,10+ billion,,
658,Senior Data Analyst,65000.0,81000,4.7,DISQO,Glendale,CA,Glendale,CA,51-200,2014,Private Company,Research & Development,Business Services,,,
659,Credit Data Analyst,65000.0,81000,-1.0,Dot 818,Glendale,CA,,,,-1,,,,,,
660,Sr Performance Metrics Data Analyst,65000.0,81000,-1.0,BBCN Bank,Los Angeles,CA,,,,-1,,,,,,
661,Sr. Data Analyst,65000.0,81000,-1.0,Launch Infotech,Signal Hill,CA,,,,-1,,,,,,
662,Junior Data Analyst,65000.0,81000,3.9,Tech Air,Long Beach,CA,Danbury,CT,201-500,1935,Private Company,Industrial Manufacturing,Manufacturing,100 to 500 million,,
663,SENIOR DATA BI ANALYST,65000.0,81000,2.5,Network Medical Management Inc,Alhambra,CA,Alhambra,CA,501-1000,1994,Public Company,Health Care Services & Hospitals,Health Care,,,
664,Data Analyst - MS Access & Excel,65000.0,81000,3.5,Midcom,Azusa,CA,Anaheim,CA,51-200,1979,Private Company,Consulting,Business Services,10 to 25 million,,
665,Data Analyst (Asset Management / eDiscovery),65000.0,81000,3.8,Odesus,Burbank,CA,Los Angeles,CA,51-200,2001,Private Company,Consulting,Business Services,5 to 10 million,,
666,Jr. Data Analyst,65000.0,81000,3.8,Login Consulting Services,El Segundo,CA,El Segundo,CA,51-200,-1,Private Company,Consulting,Business Services,5 to 10 million,,
667,Sr. Data Analyst,65000.0,81000,4.0,Unilever,Marina del Rey,CA,London,United Kingdom,10000+,1872,Public Company,Consumer Products Manufacturing,Manufacturing,10+ billion,3.0,
668,"Data Analyst - Health, Experienced",65000.0,81000,4.1,Blue Shield of California,Woodland Hills,CA,Oakland,CA,5001-10000,1939,Nonprofit Organization,Insurance Carriers,Insurance,10+ billion,,
669,Product/Data Analyst,65000.0,81000,-1.0,Clear Technology Consulting,Glendale,CA,,,,-1,,,,,,
670,Junior Data Analyst,65000.0,81000,3.8,Airgas,Long Beach,CA,Radnor,PA,10000+,1982,Public Company,Chemical Manufacturing,Manufacturing,5 to 10 billion,,
671,Reporting Data Analyst,65000.0,81000,3.0,Apollo Global Management,El Segundo,CA,New York,NY,1001-5000,1990,Public Company,Venture Capital & Private Equity,Finance,1 to 2 billion,,
672,Data Intelligence Analyst,65000.0,81000,3.3,Revolve,Cerritos,CA,Cerritos,CA,201-500,2003,Public Company,"Department, Clothing, & Shoe Stores",Retail,,,
673,"Data Analyst-Cerritos, CA",65000.0,81000,5.0,Georgia IT Inc.,Cerritos,CA,Alpharetta,GA,1-50,-1,Private Company,,,Less than 1 million,,
674,Digital Marketing Data Analyst,65000.0,81000,-1.0,"Recargo, Inc., makers of PlugShare",El Segundo,CA,,,,-1,,,,,,
675,Sr Performance Metrics Data Analyst,65000.0,81000,2.6,Bank Of Hope,Los Angeles,CA,Los Angeles,CA,201-500,-1,Public Company,,,100 to 500 million,,
676,Student Data Compliance Analyst,65000.0,81000,3.3,KIPP SoCal Public Schools,Los Angeles,CA,Los Angeles,CA,1001-5000,2003,Nonprofit Organization,K-12 Education,Education,50 to 100 million,,
677,Data Quality Control Analyst,65000.0,81000,3.5,Genuent,Glendale,CA,Houston,TX,201-500,2006,Private Company,Staffing & Outsourcing,Business Services,100 to 500 million,,
678,Senior Data Management Analyst,65000.0,81000,3.0,Apollo Global Management,El Segundo,CA,New York,NY,1001-5000,1990,Public Company,Venture Capital & Private Equity,Finance,1 to 2 billion,,
679,Sr. Data Analyst,65000.0,81000,2.8,SAG-AFTRA Health Plan and SAG-Producers Pension Plan,Burbank,CA,Burbank,CA,,-1,Private Company,,,,,
680,Data Analyst HEDIS Star,65000.0,81000,3.2,SCAN Health Plan,Long Beach,CA,Long Beach,CA,501-1000,1977,Nonprofit Organization,Insurance Carriers,Insurance,2 to 5 billion,,
681,Senior Data Analyst,65000.0,81000,4.7,PlayQ,Santa Monica,CA,Santa Monica,CA,51-200,2007,Private Company,Video Games,Media,,,
682,Sr. Data Analyst,65000.0,81000,3.1,Molina Healthcare,Long Beach,CA,Long Beach,CA,10000+,1980,Public Company,Insurance Carriers,Insurance,10+ billion,,
683,SAP Master Data Analyst,65000.0,81000,2.5,"NetSource, Inc.",Los Angeles,CA,Bolton,CT,51-200,-1,Private Company,Consumer Products Manufacturing,Manufacturing,10 to 25 million,,
684,Service Operations Data Analyst,65000.0,81000,3.3,"Quinn Group, Inc.",City of Industry,CA,City of Industry,CA,501-1000,1919,Private Company,Commercial Equipment Repair & Maintenance,"Construction, Repair & Maintenance",,2.0,
685,Data Analyst I,65000.0,81000,-1.0,"zz-Tarzana Treatment Centers, Inc.",Northridge,CA,,,,-1,,,,,,
686,Senior Data Management Analyst,65000.0,81000,-1.0,"Recruiting Resources, Inc.",El Segundo,CA,Los Angeles,CA,1-50,-1,Private Company,,,,,
687,System and Data Analyst,113000.0,132000,2.9,Pacific Clinics,Arcadia,CA,Arcadia,CA,501-1000,1926,Nonprofit Organization,Health Care Services & Hospitals,Health Care,50 to 100 million,,
688,Service Operations Data Analyst,113000.0,132000,5.0,Quinn Group,City of Industry,CA,Taipei,Taiwan,51-200,-1,Private Company,,,,,
689,SAP Master Data Analyst,113000.0,132000,-1.0,DT Professional Services,Los Angeles,CA,Canoga Park,CA,1-50,2013,Public Company,,,Less than 1 million,,
690,Business Analyst Asset Data Management,113000.0,132000,4.0,NRC INC,Los Angeles,CA,Boca Raton,FL,51-200,-1,Private Company,,,,,
691,Sr Digital Marketing Data Analyst (PAID SOCIAL),113000.0,132000,5.0,LaBine & Associates,Santa Monica,CA,San Mateo,CA,1-50,2013,Private Company,Staffing & Outsourcing,Business Services,,,
692,19-0574 - Service Operations Data Analyst,113000.0,132000,3.3,Quinn Company CAT,City of Industry,CA,City of Industry,CA,501-1000,1919,Private Company,Commercial Equipment Repair & Maintenance,"Construction, Repair & Maintenance",,2.0,
693,Discovery Data Analyst,113000.0,132000,2.9,"NTT DATA, Inc.",Burbank,CA,Singapore,Singapore,201-500,-1,Private Company,Accounting,Accounting & Legal,,,
694,"Analyst, Financial Master Data",113000.0,132000,5.0,WB Technology,Burbank,CA,Bishnupur ,India,,-1,Private Company,,,,,
695,Data Analyst-HEDIS & Star,113000.0,132000,3.2,SCAN Health Plan,Long Beach,CA,Long Beach,CA,501-1000,1977,Nonprofit Organization,Insurance Carriers,Insurance,2 to 5 billion,,
696,Music Copyright Data Analyst,113000.0,132000,3.3,AppleOne,Woodland Hills,CA,Glendale,CA,1001-5000,1964,Private Company,Staffing & Outsourcing,Business Services,1 to 2 billion,2.0,
697,Sr. Data Analyst,113000.0,132000,3.8,Login Consulting Services,El Segundo,CA,El Segundo,CA,51-200,-1,Private Company,Consulting,Business Services,5 to 10 million,,
698,Sr. Data Analyst,113000.0,132000,-1.0,Shapestone Inc.,Burbank,CA,,,,-1,,,,,,
699,Sr. Data Governance Analyst,113000.0,132000,4.0,Lorven Technologies Inc,Arcadia,CA,Plainsboro,NJ,1-50,-1,Private Company,Accounting,Accounting & Legal,Less than 1 million,,
700,"Data Analyst - Health, Senior",113000.0,132000,4.1,Blue Shield of California,Woodland Hills,CA,Oakland,CA,5001-10000,1939,Nonprofit Organization,Insurance Carriers,Insurance,10+ billion,,
701,Data Analyst-HEDIS & Star,113000.0,132000,-1.0,SCAN Healthplan,Long Beach,CA,,,,-1,,,,,,
702,Data Entry Clerk and Analyst - Financial,113000.0,132000,2.8,Information Technology Partners,Burbank,CA,Chicago,IL,51-200,1991,Private Company,IT Services,Information Technology,10 to 25 million,,
703,"Analyst, Financial Master Data",113000.0,132000,3.9,Warner Bros. Entertainment,Burbank,CA,Burbank,CA,5001-10000,1923,Public Company,Motion Picture Production & Distribution,Media,10+ billion,1.0,
704,Senior Clinical Data Analyst,113000.0,132000,3.4,Providence Health & Services,Gardena,CA,Renton,WA,10000+,1855,Nonprofit Organization,Health Care Services & Hospitals,Health Care,100 to 500 million,,
705,Sr. Data Analyst (Pharmacy),113000.0,132000,3.1,Molina Healthcare,Long Beach,CA,Long Beach,CA,10000+,1980,Public Company,Insurance Carriers,Insurance,10+ billion,,
706,"Sr Analyst, Data",113000.0,132000,3.1,Molina Healthcare,Long Beach,CA,Long Beach,CA,10000+,1980,Public Company,Insurance Carriers,Insurance,10+ billion,,
707,Systems and Data Analyst,113000.0,132000,2.4,To Help Everyone Health & Wellness Centers,Los Angeles,CA,Los Angeles,CA,201-500,-1,Nonprofit Organization,,,,,
708,"Analyst, Financial Master Data",113000.0,132000,3.7,Turner Broadcasting,Burbank,CA,New York,NY,10000+,2003,Business,TV Broadcast & Cable Networks,Media,10+ billion,2.0,
709,Copyright Data Analyst,113000.0,132000,3.3,AppleOne,Woodland Hills,CA,Glendale,CA,1001-5000,1964,Private Company,Staffing & Outsourcing,Business Services,1 to 2 billion,2.0,
710,LIMS Master Data Analyst,113000.0,132000,4.6,USDM Life Sciences,Santa Monica,CA,Santa Barbara,CA,201-500,1999,Private Company,Consulting,Business Services,,,
711,Data Analyst *Temp-Hire*,113000.0,132000,2.9,SkillsetGroup - Professional Staffing Solutions,Pico Rivera,CA,San Clemente,CA,1-50,2013,Private Company,Staffing & Outsourcing,Business Services,,,
712,"QM DATA ANALYST II, WHITTIER, FULL TIME DAYS",113000.0,132000,3.6,PIH Health,Whittier,CA,Whittier,CA,5001-10000,1959,Nonprofit Organization,Health Care Services & Hospitals,Health Care,1 to 2 billion,2.0,
713,Radar Telemetry Data Analyst - RT,113000.0,132000,-1.0,KLM Careers,Anaheim,CA,,,,-1,,,,,,
714,Sr. Data Analyst — US Safety,113000.0,132000,3.8,TikTok,Los Angeles,CA,Los Angeles,CA,1001-5000,2016,Private Company,Internet,Information Technology,,,
715,Data Analyst - Marketing Analytics,113000.0,132000,3.4,Mercury Insurance Group,Brea,CA,Los Angeles,CA,1001-5000,1961,Public Company,Insurance Carriers,Insurance,2 to 5 billion,,
716,Radar Telemetry Data Analyst,42000.0,63000,-1.0,TopTalentFetch,Anaheim,CA,,,,-1,,,,,,
717,Radar Telemetry Data Analyst,42000.0,63000,-1.0,Stark HR Consulting LLC,Anaheim,CA,,,,-1,,,,,,
718,Senior Healthcare Data Analyst,42000.0,63000,-1.0,"AlphaProTemps, A.P.R., Inc.",San Fernando,CA,,,,-1,,,,,,
719,Radar Telemetry Data Analyst,42000.0,63000,-1.0,Devotion Business Solutions,Anaheim,CA,,,,-1,,,,,,
720,Data Analyst,60000.0,66000,3.9,Wintrust Financial,Chicago,IL,Rosemont,IL,1001-5000,1991,Public Company,Banks & Credit Unions,Finance,500 million to 1 billion,2.0,
721,Data Analyst,60000.0,66000,3.7,NCSA - Next College Student Athlete,Chicago,IL,Chicago,IL,501-1000,2000,Private Company,Sports & Recreation,"Arts, Entertainment & Recreation",,,
722,Data Analyst,60000.0,66000,3.7,Riskonnect,Chicago,IL,Kennesaw,GA,201-500,2007,Private Company,Enterprise Software & Network Solutions,Information Technology,100 to 500 million,,
723,Data Transformation Analyst,60000.0,66000,5.0,Centric Consulting,Chicago,IL,Dayton,OH,501-1000,1999,Private Company,Consulting,Business Services,100 to 500 million,3.0,
724,Data Analyst,60000.0,66000,3.2,GoHealth,Chicago,IL,Chicago,IL,501-1000,2001,Private Company,Health Care Services & Hospitals,Health Care,,2.0,True
725,Jr. Data Analyst,60000.0,66000,3.4,Kelly,Downers Grove,IL,Troy,MI,5001-10000,1946,Public Company,Staffing & Outsourcing,Business Services,5 to 10 billion,3.0,
726,Urgent Need - Data Analyst,60000.0,66000,3.4,Kelly,Chicago,IL,Troy,MI,5001-10000,1946,Public Company,Staffing & Outsourcing,Business Services,5 to 10 billion,3.0,
727,Data Analyst,60000.0,66000,3.8,Undertone,Chicago,IL,New York,NY,201-500,2001,Business,Advertising & Marketing,Business Services,,3.0,True
728,Business Systems & Data Analyst,60000.0,66000,2.8,Mike's Hard Lemonade,Chicago,IL,Chicago,IL,201-500,1999,Private Company,Food & Beverage Manufacturing,Manufacturing,,2.0,
729,Healthcare Data Analyst - Remote,60000.0,66000,3.3,Allscripts,Chicago,IL,Chicago,IL,5001-10000,1986,Public Company,Computer Hardware & Software,Information Technology,1 to 2 billion,3.0,
730,Junior Data Analyst,60000.0,66000,3.7,Circle Logistics,Chicago,IL,Fort Wayne,IN,201-500,2011,Private Company,Transportation Management,Transportation & Logistics,100 to 500 million,3.0,
731,Data Analyst,60000.0,66000,4.0,University of Chicago,Chicago,IL,Chicago,IL,10000+,1890,Education,Colleges & Universities,Education,2 to 5 billion,,
732,Product Data Analyst,60000.0,66000,3.9,Mondo,Chicago,IL,New York,NY,51-200,2000,Private Company,Staffing & Outsourcing,Business Services,100 to 500 million,2.0,
733,Entry Level / Jr. Data Analyst,60000.0,66000,-1.0,KesarWeb,Chicago,IL,Langhorne,PA,1-50,-1,Private Company,,,,,
734,Data Analyst (Junior),60000.0,66000,4.6,Swoon,Downers Grove,IL,Chicago,IL,201-500,2010,Private Company,Staffing & Outsourcing,Business Services,50 to 100 million,,
735,Data Analyst,60000.0,66000,4.6,Swoon,Downers Grove,IL,Chicago,IL,201-500,2010,Private Company,Staffing & Outsourcing,Business Services,50 to 100 million,,
736,Associate Marketing Data Analyst,60000.0,66000,4.1,Bosch Group,Broadview,IL,Farmington Hills,MI,10000+,1886,Private Company,Miscellaneous Manufacturing,Manufacturing,10+ billion,2.0,
737,Outsights Data Analyst,60000.0,66000,3.3,Tempus,Chicago,IL,Washington,DC,51-200,1999,Private Company,Financial Transaction Processing,Finance,1 to 2 billion,,
738,Business Data Analyst,60000.0,66000,3.3,Feeding America,Chicago,IL,Chicago,IL,51-200,1979,Nonprofit Organization,Social Assistance,Non-Profit,2 to 5 billion,,
739,Data Analyst,60000.0,66000,4.7,CRS Group,Chicago,IL,Itasca,IL,51-200,1994,Private Company,Staffing & Outsourcing,Business Services,10 to 25 million,,
740,Data Analyst,60000.0,66000,4.3,Peterson Technology Partners,Chicago,IL,Park Ridge,IL,201-500,1997,Contract,Computer Hardware & Software,Information Technology,25 to 50 million,,
741,Data Analyst,60000.0,66000,3.2,BMO,Chicago,IL,Chicago,IL,10000+,1882,Business,Banks & Credit Unions,Finance,2 to 5 billion,3.0,
742,Data Analyst - Excel,60000.0,66000,3.3,AppleOne,Downers Grove,IL,Glendale,CA,1001-5000,1964,Private Company,Staffing & Outsourcing,Business Services,1 to 2 billion,2.0,
743,Associate Marketing Data Analyst,60000.0,66000,3.1,Robert Bosch Tool Corporation,Broadview,IL,Mount Prospect,IL,1001-5000,1971,Business,Consumer Products Manufacturing,Manufacturing,500 million to 1 billion,2.0,
744,Data Analyst,60000.0,66000,3.5,Chicago Public Schools,Chicago,IL,Chicago,IL,10000+,1883,Education,K-12 Education,Education,,,
745,Data Integrity Analyst,60000.0,66000,3.3,Chicago,Chicago,IL,Chicago,IL,10000+,1837,Government,Municipal Governments,Government,,,
746,Data Integrity Analyst,60000.0,66000,3.8,Guggenheim Partners,Chicago,IL,Chicago,IL,1001-5000,1999,Private Firm,Investment Banking & Asset Management,Finance,,3.0,
747,Data Analyst - IntelliScript,60000.0,66000,3.8,Milliman,Chicago,IL,Seattle,WA,1001-5000,1947,Private Company,Consulting,Business Services,1 to 2 billion,,
748,Data Analyst,60000.0,66000,3.7,BMO Financial Group,Chicago,IL,Toronto,Canada,10000+,1817,Public Company,Banks & Credit Unions,Finance,10+ billion,3.0,
749,Reporting and Data Analyst - (North American Collections Analytics for Data and Analytics),60000.0,66000,3.2,BMO,Chicago,IL,Chicago,IL,10000+,1882,Business,Banks & Credit Unions,Finance,2 to 5 billion,3.0,
750,Data Analyst,73000.0,82000,4.2,UST Global,Chicago,IL,Aliso Viejo,CA,10000+,1999,Private Company,IT Services,Information Technology,1 to 2 billion,3.0,
751,Lead Data Analyst,73000.0,82000,4.6,First Stop Health,Chicago,IL,Chicago,IL,1-50,2011,Private Company,Health Care Services & Hospitals,Health Care,,,
752,Manufacturing Data Analyst,73000.0,82000,3.2,MeadWestVaco,Woodridge,IL,Atlanta,GA,10000+,2015,Public Company,Miscellaneous Manufacturing,Manufacturing,10+ billion,3.0,
753,Data Analyst,73000.0,82000,3.5,Care Advisors Inc,Chicago,IL,Chicago,IL,1-50,-1,Private Company,Computer Hardware & Software,Information Technology,,,
754,Data Analyst,73000.0,82000,3.7,Ann & Robert H. Lurie Children's Hospital of Chicago,Chicago,IL,Chicago,IL,1001-5000,2012,Nonprofit Organization,Health Care Services & Hospitals,Health Care,500 million to 1 billion,,
755,Data Analyst,73000.0,82000,3.9,"TEKsystems, Inc",Chicago,IL,Hanover,MD,1001-5000,1983,Business,Staffing & Outsourcing,Business Services,2 to 5 billion,3.0,
756,Data Analyst Intern,73000.0,82000,-1.0,MT Global US INC,Chicago,IL,Gardena,CA,1-50,-1,Private Company,,,,,
757,Senior Data Analyst,73000.0,82000,3.4,HNI,Chicago,IL,Muscatine,IA,5001-10000,1944,Public Company,Consumer Products Manufacturing,Manufacturing,2 to 5 billion,,
758,Data Analyst,73000.0,82000,4.1,SkySource Solutions,Downers Grove,IL,Berea,OH,1-50,2017,Public Company,Staffing & Outsourcing,Business Services,5 to 10 million,,
759,Junior Data Analyst,73000.0,82000,5.0,"Staffigo Technical Services, LLC",Chicago,IL,Woodridge,IL,51-200,2008,Private Company,IT Services,Information Technology,50 to 100 million,,
